Unnamed: 0,userid,category,avg_bill,join_datetime,age,income,kids,teenagers,marital,education,complain_count,last_order_dt,discount_purchases_count_avg,catalogue_purchases_count_avg,store_purchases_count_avg,website_purchases_count_avg,website_visit_count_avg,mobile_purchases_count_avg,mobile_visit_count_avg,marketing_company_outcome_1,marketing_company_outcome_2,marketing_company_outcome_3,marketing_company_outcome_4,marketing_company_outcome_5
23,ad50b3da-da8d-4b35-92c3-79cf83c2250a,sweets,80.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
24,ad50b3da-da8d-4b35-92c3-79cf83c2250a,other,159.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
26,ad50b3da-da8d-4b35-92c3-79cf83c2250a,meat,306.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
27,ad50b3da-da8d-4b35-92c3-79cf83c2250a,vegetables,554.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
28,a300c8a3-6280-4a59-8c89-be4212a4eb26,fruits,0.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
29,a300c8a3-6280-4a59-8c89-be4212a4eb26,meat,255.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
30,a300c8a3-6280-4a59-8c89-be4212a4eb26,vegetables,0.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
31,a300c8a3-6280-4a59-8c89-be4212a4eb26,fish,540.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
32,a300c8a3-6280-4a59-8c89-be4212a4eb26,other,700.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
33,a300c8a3-6280-4a59-8c89-be4212a4eb26,sweets,49.0,2023-04-16 01:08:28,58,78062.0,0,1,married,bachelor,0,2024-06-02,5,3,8,10,8,7,12,0,0,0,0,0
36,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,meat,504.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
37,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,fruits,75.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
38,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,fish,648.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
39,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,vegetables,277.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
40,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,other,170.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
41,0ceeb59c-a91c-4cf4-8bf8-3593f12722b9,sweets,40.0,2023-01-15 17:24:13,44,62509.0,1,0,dating,masters,1,2024-06-17,2,0,4,3,7,4,7,0,0,0,0,0
43,b2a565e5-c3e2-4547-b075-d4ddedcc5506,other,98.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
44,b2a565e5-c3e2-4547-b075-d4ddedcc5506,sweets,0.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
45,b2a565e5-c3e2-4547-b075-d4ddedcc5506,fruits,0.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
46,b2a565e5-c3e2-4547-b075-d4ddedcc5506,meat,63.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
47,b2a565e5-c3e2-4547-b075-d4ddedcc5506,vegetables,0.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
48,b2a565e5-c3e2-4547-b075-d4ddedcc5506,fish,0.0,2023-01-15 23:56:15,37,64453.0,1,0,dating,bachelor,2,2024-06-11,2,0,3,2,6,14,25,0,0,0,0,0
49,32fe3522-090a-4faa-b265-bc763142f0f5,meat,468.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
50,32fe3522-090a-4faa-b265-bc763142f0f5,sweets,6.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
51,32fe3522-090a-4faa-b265-bc763142f0f5,fruits,45.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
53,32fe3522-090a-4faa-b265-bc763142f0f5,fish,108.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
54,32fe3522-090a-4faa-b265-bc763142f0f5,other,187.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
55,32fe3522-090a-4faa-b265-bc763142f0f5,vegetables,462.0,2023-04-24 12:04:47,49,68300.0,0,1,divorced,bachelor,1,2024-06-27,3,0,4,4,8,8,14,0,0,0,0,0
56,203e70de-1092-4cac-9234-9c68224a3185,sweets,55.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
57,203e70de-1092-4cac-9234-9c68224a3185,meat,36.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
58,203e70de-1092-4cac-9234-9c68224a3185,fruits,735.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
59,203e70de-1092-4cac-9234-9c68224a3185,vegetables,294.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
61,203e70de-1092-4cac-9234-9c68224a3185,other,20.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
62,203e70de-1092-4cac-9234-9c68224a3185,fish,0.0,2023-03-22 01:26:47,13,25903.0,0,0,single,basic,1,2024-06-25,4,0,1,0,0,5,14,1,1,0,1,1
63,df7140d3-27e9-43b2-8ed4-f5d3210eb636,fruits,795.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
64,df7140d3-27e9-43b2-8ed4-f5d3210eb636,fish,54.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
65,df7140d3-27e9-43b2-8ed4-f5d3210eb636,meat,18.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
66,df7140d3-27e9-43b2-8ed4-f5d3210eb636,vegetables,261.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
67,df7140d3-27e9-43b2-8ed4-f5d3210eb636,sweets,84.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
69,df7140d3-27e9-43b2-8ed4-f5d3210eb636,other,18.0,2022-10-01 08:34:36,14,26287.0,0,0,single,,1,,0,0,1,1,2,3,36,1,0,0,0,1
70,a59ea56b-2057-43c5-90bd-714d4aba4413,sweets,0.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
71,a59ea56b-2057-43c5-90bd-714d4aba4413,other,138.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
72,a59ea56b-2057-43c5-90bd-714d4aba4413,meat,99.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
73,a59ea56b-2057-43c5-90bd-714d4aba4413,vegetables,0.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
74,a59ea56b-2057-43c5-90bd-714d4aba4413,fruits,0.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
76,a59ea56b-2057-43c5-90bd-714d4aba4413,fish,0.0,2022-05-06 05:13:09,65,71031.0,0,1,married,bachelor,0,2024-06-26,1,0,4,2,6,5,9,0,0,0,1,0
77,b5807144-00f4-4dc5-bbaf-d20660574634,sweets,0.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
78,b5807144-00f4-4dc5-bbaf-d20660574634,meat,27.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
80,b5807144-00f4-4dc5-bbaf-d20660574634,fish,0.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
81,b5807144-00f4-4dc5-bbaf-d20660574634,fruits,0.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
82,b5807144-00f4-4dc5-bbaf-d20660574634,vegetables,0.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
83,b5807144-00f4-4dc5-bbaf-d20660574634,other,7.0,2022-11-16 08:41:20,59,57583.0,1,1,dating,phd,2,2024-06-27,1,0,2,1,7,6,11,0,0,0,0,0
84,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,other,462.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
85,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,vegetables,1337.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
87,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,fish,1728.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
88,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,meat,264.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
89,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,fruits,1245.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
90,ef143b15-65f4-4a8b-9a00-c3425bdc38f5,sweets,112.0,2023-06-18 13:19:24,55,86182.0,0,1,single,bachelor,1,2024-06-27,1,2,10,4,3,3,5,0,0,0,0,0
91,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,fish,216.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
92,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,other,17.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
93,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,vegetables,588.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
94,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,meat,90.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
96,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,sweets,90.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
97,5b06eeec-ac6f-4615-b79a-3cf3bae654c3,fruits,345.0,2023-10-23 18:35:11,18,25505.0,0,0,single,masters,1,2024-06-28,4,0,1,1,8,1,42,1,1,1,1,1
98,e71ee04d-5b6e-4e72-a7d8-10c974e59017,meat,126.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
100,e71ee04d-5b6e-4e72-a7d8-10c974e59017,fruits,270.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
101,e71ee04d-5b6e-4e72-a7d8-10c974e59017,vegetables,323.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
102,e71ee04d-5b6e-4e72-a7d8-10c974e59017,fish,216.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
103,e71ee04d-5b6e-4e72-a7d8-10c974e59017,sweets,360.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
104,e71ee04d-5b6e-4e72-a7d8-10c974e59017,other,14.0,2023-08-22 08:04:56,11,25779.0,0,0,single,bachelor,2,2024-07-05,4,0,2,2,4,0,11,1,0,1,0,0
105,e2a41371-a91e-4683-a71a-0a7b83840a9b,fish,216.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
106,e2a41371-a91e-4683-a71a-0a7b83840a9b,vegetables,126.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
107,e2a41371-a91e-4683-a71a-0a7b83840a9b,sweets,88.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
108,e2a41371-a91e-4683-a71a-0a7b83840a9b,meat,36.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
109,e2a41371-a91e-4683-a71a-0a7b83840a9b,other,19.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
110,e2a41371-a91e-4683-a71a-0a7b83840a9b,fruits,960.0,2023-05-02 11:32:16,17,25513.0,0,0,single,bachelor,0,2024-07-08,3,0,2,2,1,2,27,0,1,0,0,1
112,9343e961-e58f-45a8-ae6b-b3117325ce5a,meat,585.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
113,9343e961-e58f-45a8-ae6b-b3117325ce5a,fish,1836.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
114,9343e961-e58f-45a8-ae6b-b3117325ce5a,fruits,390.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
115,9343e961-e58f-45a8-ae6b-b3117325ce5a,vegetables,1463.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
116,9343e961-e58f-45a8-ae6b-b3117325ce5a,sweets,119.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
117,9343e961-e58f-45a8-ae6b-b3117325ce5a,other,751.0,2023-06-11 11:44:00,74,93569.0,0,0,married,masters,1,2024-07-07,1,4,13,6,2,16,29,0,0,0,0,0
119,b3e37e2c-f821-4885-9221-e8b172ab2fb5,sweets,204.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
120,b3e37e2c-f821-4885-9221-e8b172ab2fb5,other,16.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
121,b3e37e2c-f821-4885-9221-e8b172ab2fb5,meat,0.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
122,b3e37e2c-f821-4885-9221-e8b172ab2fb5,fish,162.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
123,b3e37e2c-f821-4885-9221-e8b172ab2fb5,vegetables,0.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
124,b3e37e2c-f821-4885-9221-e8b172ab2fb5,fruits,840.0,2024-04-24 23:23:42,15,26596.0,0,0,single,masters,0,2024-07-08,5,0,2,0,8,5,20,0,0,1,1,1
126,79628711-52d2-43a6-80ef-0119c432e471,vegetables,338.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
127,79628711-52d2-43a6-80ef-0119c432e471,other,4.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
128,79628711-52d2-43a6-80ef-0119c432e471,fish,0.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
129,79628711-52d2-43a6-80ef-0119c432e471,sweets,48.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
130,79628711-52d2-43a6-80ef-0119c432e471,fruits,1005.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
131,79628711-52d2-43a6-80ef-0119c432e471,meat,72.0,2023-08-11 09:01:11,15,25711.0,0,0,single,masters,0,2024-06-22,4,0,0,0,0,1,27,1,1,1,0,0
133,caecef1f-827c-45b1-a501-4c3a6bf5c584,vegetables,0.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
135,caecef1f-827c-45b1-a501-4c3a6bf5c584,fish,648.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
136,caecef1f-827c-45b1-a501-4c3a6bf5c584,fruits,0.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
137,caecef1f-827c-45b1-a501-4c3a6bf5c584,meat,426.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
138,caecef1f-827c-45b1-a501-4c3a6bf5c584,other,914.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
139,caecef1f-827c-45b1-a501-4c3a6bf5c584,sweets,72.0,2022-12-29 22:07:39,45,73659.0,0,1,single,phd,2,,2,4,8,2,8,12,22,0,0,0,0,0
140,320ef016-dfd6-4f29-bab5-d2cf8015156c,sweets,307.0,2023-06-07 16:51:18,45,86038.0,0,1,married,bachelor,2,2024-06-30,4,10,13,6,4,15,27,0,0,0,0,0
141,320ef016-dfd6-4f29-bab5-d2cf8015156c,fruits,1140.0,2023-06-07 16:51:18,45,86038.0,0,1,married,bachelor,2,2024-06-30,4,10,13,6,4,15,27,0,0,0,0,0
142,320ef016-dfd6-4f29-bab5-d2cf8015156c,other,1210.0,2023-06-07 16:51:18,45,86038.0,0,1,married,bachelor,2,2024-06-30,4,10,13,6,4,15,27,0,0,0,0,0
143,320ef016-dfd6-4f29-bab5-d2cf8015156c,vegetables,1223.0,2023-06-07 16:51:18,45,86038.0,0,1,married,bachelor,2,2024-06-30,4,10,13,6,4,15,27,0,0,0,0,0
144,320ef016-dfd6-4f29-bab5-d2cf8015156c,fish,1008.0,2023-06-07 16:51:18,45,86038.0,0,1,married,bachelor,2,2024-06-30,4,10,13,6,4,15,27,0,0,0,0,0
147,dfc00ffd-1c0e-499b-ab4a-7a8603026757,sweets,14.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
148,dfc00ffd-1c0e-499b-ab4a-7a8603026757,fruits,0.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
150,dfc00ffd-1c0e-499b-ab4a-7a8603026757,meat,99.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
151,dfc00ffd-1c0e-499b-ab4a-7a8603026757,fish,0.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
152,dfc00ffd-1c0e-499b-ab4a-7a8603026757,vegetables,0.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
153,dfc00ffd-1c0e-499b-ab4a-7a8603026757,other,19.0,2023-08-20 23:27:21,51,50293.0,1,0,married,bachelor,1,2024-06-28,1,1,2,1,8,8,14,0,0,0,0,0
154,ed797745-f475-449b-9f04-2fccee79cda4,meat,126.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
156,ed797745-f475-449b-9f04-2fccee79cda4,fruits,795.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
157,ed797745-f475-449b-9f04-2fccee79cda4,vegetables,292.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
158,ed797745-f475-449b-9f04-2fccee79cda4,other,10.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
159,ed797745-f475-449b-9f04-2fccee79cda4,fish,0.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
160,ed797745-f475-449b-9f04-2fccee79cda4,sweets,230.0,2022-07-31 02:21:56,16,26413.0,0,0,single,basic,0,2024-07-08,0,0,0,1,8,3,9,1,1,1,1,1
161,0096a1d7-e05b-453e-babd-7da9fa4160a6,other,1532.0,2022-07-01 05:05:57,54,120901.0,1,1,single,bachelor,0,2024-07-04,4,3,6,5,8,11,20,0,0,0,0,0
